Code;Name;Explanation;GAL-TAN/LEFT-RIGHT;Note
0;No meaningful category applies;Statements not covered by any other category. Use restrictively. Statements opposing agricultural policy are coded 000.;NEUTRAL;No statement
101;Foreign Special Relationships: Positive;"Favourable mentions of particular countries with which the manifesto country has a special relationship; the need for co-operation with and/or aid to such countries.";GAL;GAL advocates for International Cooperation
102;Foreign Special Relationships: Negative;Negative mentions of particular countries with which the manifesto country has a special relationship.;TAN;TAN opposes international cooperation --> Focus on national sovereignty
103;Anti-Imperialism: Positive;"Negative references to imperial behaviour and/or negative references to one state exerting strong influence (political, military or commercial) over other states. May also include:  - Negative references to controlling other countries as if they were part of an empire;  - Favourable references to greater self-government and independence for colonies;  - Favourable mentions of de-colonisation.";GAL;GAL opposes imperialist policies and supports the independence of former colonies
104;Military: Positive;"The importance of external security and defence. May include statements concerning:  - The need to maintain or increase military expenditure;  - The need to secure adequate manpower in the military;  - The need to modernise armed forces and improve military strength;  - The need for rearmament and self-defence;  - The need to keep military treaty obligations. ";TAN;TAN stands for military strength to guarantee national integrity
105;Military: Negative;"Negative references to the military or use of military power to solve conflicts.  References to the 'evils of war'. May include references to:  - Decreasing military expenditures;  - Disarmament;  - Reduced or abolished conscription.";GAL;GAL rejects military force and advocates for peaceful conflict resolution.
106;Peace: Positive;"Any declaration of belief in peace and peaceful means of solving crises -- absent  reference to the military. May include:  - Peace as a general goal;  - Desirability of countries joining in negotiations with hostile countries;  - Ending wars in order to establish peace.";GAL;GAL rejects military force and advocates for peaceful conflict resolution.
107;Internationalism: Positive;"Need for international co-operation, including co-operation with specific countries  other than those coded in 101 or 108. May also include references to the:  - Need for aid to developing countries;  - Need for world planning of resources;  - Support for global governance;  - Need for international courts;  - Support for UN or other international organisations. ";GAL;GAL advocates for International cooperation
108;European Integration: Positive;"Favourable mentions of European Community/Union in general. May include the:  - Desirability of the manifesto country joining (or remaining a member);  - Desirability of expanding the European Community/Union;  - Desirability of increasing the ECs/EUs competences;  - Desirability of expanding the competences of the European Parliament. ";GAL;GAL advocates for International cooperation
109;Internationalism: Negative;Negative references to international co-operation. Favourable mentions of national  independence and sovereignty with regard to the manifesto country's foreign policy,  isolation and/or unilateralism as opposed to internationalism.;TAN;TAN opposes international cooperation --> Focus on national sovereignty
110;European Integration: Negative;"Negative references to the European Community/Union. May include:  - Opposition to specific European policies which are preferred by European  authorities;  - Opposition to the net-contribution of the manifesto country to the EU budget. ";TAN;TAN opposes international cooperation --> Focus on national sovereignty
201;Freedom and Human Rights: Positive;"Favourable mentions of importance of personal freedom and civil rights in the  manifesto and other countries. May include mentions of:  - The right to the freedom of speech, press, assembly etc.;  - Freedom from state coercion in the political and economic spheres;  - Freedom from bureaucratic control;  - The idea of individualism.";GAL;GAL stands for individual rights
202;Democracy: Positive;"Favourable mentions of democracy as the ""only game in town"". General support for the  manifesto country's democracy. May also include:  - Democracy as method or goal in national, international or other organisations (e.g. labour unions, political parties etc.);  - The need for the involvement of all citizens in political decision-making;  - Support for either direct or representative democracy;  - Support for parts of democratic regimes (rule of law, division of powers,  independence of courts etc.). ";GAL;GAL Supports the Strengthening of Democratic Structures
203;Constitutionalism: Positive;Support for maintaining the status quo of the constitution. Support for specific aspects  of the manifesto country's constitution. The use of constitutionalism as an argument for  any policy.;NEUTRAL;Both TAN and GAL may want to make changes to the Constitution
204;Constitutionalism: Negative;Opposition to the entirety or specific aspects of the manifesto country's constitution. Calls for constitutional amendments or changes. May include calls to abolish or rewrite  the current constitution.;NEUTRAL;Both TAN and GAL may want to make changes to the Constitution
301;Decentralisation: Positive;"Support for federalism or decentralisation of political and/or economic power. May  include:  - Favourable mentions of the territorial subsidiary principle;  - More autonomy for any sub-national level in policy making and/or economics;  - Support for the continuation and importance of local and regional customs and  symbols and/or deference to local expertise;  - Favourable mentions of special consideration for sub-national areas.";NEUTRAL;In state elections, both GAL and TAN take a federalist approach, so the rating here is NEUTRAL
302;Centralisation: Positive;General opposition to political decision-making at lower political levels. Support for  unitary government and for more centralisation in political and administrative  procedures.;NEUTRAL;In state elections, both GAL and TAN take a federalist approach, so the rating here is NEUTRAL
303;Governmental and Administrative Efficiency: Positive;"Need for efficiency and economy in government and administration and/or the general  appeal to make the process of government and administration cheaper and more  efficient. May include:  - Restructuring the civil service;  - Cutting down on the civil service;  - Improving bureaucratic procedures. ";RIGHT;RIGHT stands for a lean government apparatus
304;Political Corruption: Negative;Need to eliminate political corruption and associated abuses of political and/or  bureaucratic power.;NEUTRAL;Both GAL and TAN can speak out against corruption (good governance)
305;Political Authority: Positive;References to the manifesto party's competence to govern and/or other party's lack of such competence. Also includes favourable mentions of the desirability of a strong and/or stable government in general.;NEUTRAL;NEUTRAL because this category includes statements about one's own superior ability to govern, compared to political opponents, and in only a few cases authoritarian policies
401;Free Enterprise: Positive;"Favourable mentions of the free market and free market capitalism as an economic  model. May include favourable references to:  - Laissez-faire economy;  - Superiority of individual enterprise over state and control systems;  - Private property rights;  - Personal enterprise and initiative;  - Need for unhampered individual enterprises. ";RIGHT;RIGHT stands for the free market and opposes government intervention
402;Incentives: Positive;"Favourable mentions of supply side oriented economic policies (assistance to businesses  rather than consumers). May include:  - Financial and other incentives such as subsidies, tax breaks etc.;  - Wage and tax policies to induce enterprise;  - Encouragement to start enterprises. ";RIGHT;"Although description also mentions subsidies as part of business-friendly policies, the focus is on RIGHT economic policy
It could also be GAL-TAN, such as when subsidies are provided for solar power versus coal; here only the economic level."
403;Market Regulation: Positive;"Support for policies designed to create a fair and open economic market. May include:  - Calls for increased consumer protection;  - Increasing economic competition by preventing monopolies and other actions  disrupting the functioning of the market;  - Defence of small businesses against disruptive powers of big businesses;  - Social market economy.";LEFT;LEFT refers to targeted government intervention in the economy
404;Economic Planning: Positive;"Favourable mentions of long-standing economic planning by the government. May be:  - Policy plans, strategies, policy patterns etc.;  - Of a consultative or indicative nature.";LEFT;LEFT refers to targeted government intervention in the economy
405;Corporatism: Positive;Favourable mentions of cooperation of government, employers, and trade unions  simultaneously. The collaboration of employers and employee organisations in overall  economic planning supervised by the state.;LEFT;LEFT advocates for cooperation between government and the private sector
406;Protectionism: Positive;"Favourable mentions of extending or maintaining the protection of internal markets  (by the manifesto or other countries). Measures may include:  - Tariffs;  - Quota restrictions;  - Export subsidies.";LEFT;"LEFT refers to targeted government intervention in the economy 
Could also be TAN, due to preferential treatment of domestic companies; here it is solely an economic issue"
