Jahr;Partei;GAL-TAN Gold;GAL-TAN Gemma;GAL-TAN ManifestoBERTa;LEFT-RIGHT Gold;LEFT-RIGHT Gemma;LEFT-RIGHT ManifestoBERTa
1998;CDU/CSU;0,538;0,086;0,012;0,200;-0,094;-0,088
1998;FDP;-0,524;-0,559;-0,605;0,656;0,053;0,188
1998;Grüne;-0,951;-0,791;-0,806;-0,491;-0,607;-0,608
1998;PDS;-0,851;-0,639;-0,763;-0,793;-0,882;-0,867
1998;SPD;-0,174;-0,276;-0,419;-0,244;-0,452;-0,326
2005;CDU/CSU;-0,057;-0,192;-0,193;0,520;0,053;0,040
2005;FDP;-0,415;-0,519;-0,351;0,587;0,207;0,156
2005;Grüne;-0,886;-0,838;-0,897;-0,127;-0,714;-0,600
2005;Linkspartei.PDS;-0,800;-0,750;-0,784;-0,559;-0,643;-0,688
2005;SPD;-0,667;-0,429;-0,552;-0,071;-0,594;-0,400
2009;CDU/CSU;-0,190;-0,184;-0,153;-0,081;-0,087;-0,348
2009;FDP;-0,833;-0,662;-0,792;0,289;0,108;-0,070
2009;Grüne;-0,931;-0,658;-0,876;-0,600;-0,556;-0,660
2009;SPD;-0,726;-0,583;-0,556;-0,525;-0,851;-0,853
2009;Die Linke;-0,865;-0,576;-0,829;-0,922;-0,875;-0,727
2013;AfD;-0,150;0,217;0,116;0,810;0,077;0,143
2013;CDU/CSU;-0,300;-0,266;-0,422;-0,164;-0,393;-0,490
2013;FDP;-0,778;-0,696;-0,624;0,359;0,125;0,081
2013;Grüne;-0,934;-0,880;-0,979;-0,478;-0,686;-0,682
2013;SPD;-0,746;-0,770;-0,771;-0,655;-0,571;-0,782
2013;Die Linke;-0,915;-0,731;-0,778;-0,890;-0,940;-0,917
2017;AfD;0,371;0,196;0,132;-0,136;-0,304;-0,320
2017;CDU/CSU;0,040;-0,028;-0,039;-0,559;-0,396;-0,423
2017;FDP;-0,788;-0,403;-0,583;0,135;0,290;0,088
2017;Grüne;-0,962;-0,846;-0,850;-0,778;-0,625;-0,875
2017;SPD;-0,326;-0,308;-0,348;-0,714;-0,621;-0,736
2017;Die Linke;-0,958;-0,607;-0,642;-0,947;-0,831;-0,967
2025;AfD;0,309;0,291;0,171;0,180;-0,087;0,049
2025;BSW;-0,536;-0,492;-0,469;-0,403;-0,278;-0,440
2025;CDU/CSU;0,013;-0,154;-0,075;0,158;0,228;0,143
2025;FDP;-0,250;-0,286;-0,200;0,441;0,279;0,325
2025;Grüne;-0,578;-0,622;-0,558;-0,375;-0,358;-0,577
2025;SPD;-0,432;-0,313;-0,358;-0,750;-0,683;-0,684
2025;SSW;-0,811;-0,821;-0,823;-0,721;-0,556;-0,535
2025;Die Linke;-0,836;-0,760;-0,844;-1,000;-0,785;-0,938
