Jahr;Partei;Segmente;n GAL-TAN;n Links-Rechts;GAL-TAN fixed;GAL-TAN era_matched;GAL-TAN BERTa;LR fixed;LR era_matched;LR BERTa;Hinweis
1990;Bündnis 90;779;372;109;-0,81;-0,85;-0,88;-0,60;-0,22;-0,82;
1990;CDU;182;45;39;-0,38;-0,50;-0,45;-0,38;0,30;-0,38;
1990;FDP;230;87;39;-0,79;-0,84;-0,73;-0,08;0,26;0,19;
1990;PDS;153;66;10;-0,82;-0,80;-0,81;0,00;0,43;0,60;n<30
1990;SPD;145;38;28;-0,63;-0,46;-0,12;-0,50;-0,20;-0,63;n<30
1994;CDU;806;237;197;-0,08;-0,18;-0,18;-0,15;0,14;-0,11;
1994;FDP;267;81;53;-0,65;-0,54;-0,42;0,47;0,74;0,50;
1994;Grüne;1269;348;298;-0,87;-0,91;-0,90;-0,50;-0,19;-0,57;
1994;PDS;262;54;71;-0,74;-0,71;-0,83;-0,63;-0,44;-0,54;
1994;SPD;963;233;283;-0,46;-0,55;-0,62;-0,32;-0,07;-0,40;
1999;CDU;832;214;209;-0,07;0,09;0,02;-0,31;0,17;-0,40;
1999;FDP;140;10;53;-0,20;0,09;0,33;0,62;0,65;0,62;n<30
1999;Grüne;1484;560;345;-0,64;-0,71;-0,73;-0,37;0,02;-0,31;
1999;SPD;597;166;161;0,11;0,02;-0,12;-0,17;0,14;-0,24;
2004;CDU;692;220;152;0,06;-0,05;-0,15;-0,14;0,12;-0,20;
2004;FDP;685;153;191;-0,03;-0,03;-0,02;0,17;0,60;0,30;
2004;Grüne;957;293;160;-0,70;-0,76;-0,77;-0,30;0,10;-0,25;
2004;SPD;932;233;248;-0,39;-0,41;-0,42;-0,06;0,37;-0,08;
2009;CDU;803;207;203;0,21;-0,01;0,00;-0,26;0,01;-0,40;
2009;Die Linke;919;332;211;-0,71;-0,78;-0,72;-0,37;-0,05;-0,51;
2009;FDP;1223;227;466;-0,33;-0,38;-0,48;0,16;0,50;0,21;
2009;Grüne;1879;647;328;-0,70;-0,76;-0,77;-0,49;-0,09;-0,45;
2009;SPD;1496;326;404;-0,29;-0,44;-0,46;-0,32;0,04;-0,39;
2014;AfD;571;181;156;-0,16;-0,17;-0,31;0,13;0,12;0,14;
2014;CDU;1438;398;377;0,12;0,12;0,03;-0,06;-0,06;-0,11;
2014;Die Linke;1110;296;280;-0,71;-0,70;-0,76;-0,42;-0,44;-0,57;
2014;FDP;1547;344;494;-0,52;-0,50;-0,60;0,21;0,20;0,22;
2014;Grüne;2017;735;369;-0,83;-0,83;-0,86;-0,50;-0,50;-0,52;
2014;NPD;1143;400;231;0,31;0,31;0,14;-0,34;-0,34;-0,56;
2014;SPD;2479;641;595;-0,43;-0,43;-0,55;-0,39;-0,38;-0,40;
2019;AfD;1774;761;334;0,08;0,08;-0,04;-0,09;-0,10;-0,18;
2019;CDU;1327;392;340;-0,09;-0,09;-0,13;0,14;0,14;-0,01;
2019;Die Linke;2449;635;531;-0,52;-0,53;-0,58;-0,50;-0,50;-0,65;
2019;FDP;2013;496;618;-0,35;-0,34;-0,41;0,43;0,44;0,39;
2019;Grüne;2265;933;402;-0,71;-0,71;-0,74;-0,53;-0,53;-0,74;
2019;SPD;1401;312;328;-0,33;-0,34;-0,47;-0,45;-0,44;-0,56;
2024;AfD;1809;727;382;-0,04;-0,04;-0,16;0,12;0,12;0,09;
2024;CDU;2053;590;655;-0,00;-0,00;-0,03;0,06;0,06;-0,01;
2024;Die Linke;258;67;52;-0,55;-0,55;-0,58;-0,58;-0,58;-0,95;
2024;FDP;2130;407;742;-0,47;-0,47;-0,50;0,43;0,44;0,35;
2024;FW;590;176;110;-0,58;-0,58;-0,59;-0,20;-0,20;-0,35;
2024;Grüne;3843;1326;765;-0,53;-0,53;-0,60;-0,47;-0,47;-0,61;
2024;SPD;2410;609;616;-0,34;-0,33;-0,44;-0,31;-0,31;-0,41;
