year,party,party_id,row_idx,ground_truth,gemma_top1,gemma_ranked,gemma_correct,gemma_top3,berta_top1,berta_ranked,gold_spektrum,gemma_spektrum,berta_spektrum,spektrum_gleich
199809,Greens/Alliance90,41113,521,501,501,"[""501"", ""416"", ""411""]",True,True,501,"[""501"", ""416"", ""411""]",GAL,GAL,GAL,True
199809,Greens/Alliance90,41113,132,305,303,"[""303"", ""305"", ""0""]",False,True,305,"[""305"", ""202"", ""304""]",NEUTRAL,RIGHT,NEUTRAL,False
199809,Greens/Alliance90,41113,1268,506,504,"[""504"", ""303"", ""0""]",False,False,504,"[""504"", ""505"", ""503""]",NEUTRAL,LEFT,LEFT,False
199809,Greens/Alliance90,41113,1132,706,604,"[""604"", ""504"", ""503""]",False,False,603,"[""603"", ""504"", ""706""]",GAL,GAL,TAN,True
199809,Greens/Alliance90,41113,1031,504,504,"[""504"", ""503"", ""0""]",True,True,503,"[""503"", ""505"", ""504""]",LEFT,LEFT,NEUTRAL,True
199809,Greens/Alliance90,41113,650,701,305,"[""305"", ""701"", ""303""]",False,True,701,"[""701"", ""305"", ""503""]",LEFT,NEUTRAL,LEFT,False
199809,Greens/Alliance90,41113,481,501,501,"[""501"", ""0"", ""416""]",True,True,501,"[""501"", ""305"", ""416""]",GAL,GAL,GAL,True
199809,Greens/Alliance90,41113,412,408,412,"[""412"", ""403"", ""0""]",False,False,501,"[""501"", ""416"", ""301""]",NEUTRAL,LEFT,GAL,False
199809,Greens/Alliance90,41113,1924,105,701,"[""701"", ""410"", ""0""]",False,False,604,"[""604"", ""202"", ""605""]",GAL,LEFT,GAL,False
199809,Greens/Alliance90,41113,163,501,501,"[""501"", ""416"", ""0""]",True,True,501,"[""501"", ""416"", ""305""]",GAL,GAL,GAL,True
199809,Greens/Alliance90,41113,152,606,202,"[""202"", ""606"", ""0""]",False,True,202,"[""202"", ""305"", ""606""]",NEUTRAL,GAL,GAL,False
199809,Greens/Alliance90,41113,441,411,411,"[""411"", ""501"", ""0""]",True,True,411,"[""411"", ""501"", ""416""]",NEUTRAL,NEUTRAL,NEUTRAL,True
199809,Greens/Alliance90,41113,1009,403,503,"[""503"", ""0"", ""403""]",False,True,403,"[""403"", ""416"", ""606""]",LEFT,NEUTRAL,LEFT,False
199809,Greens/Alliance90,41113,1074,504,504,"[""504"", ""503"", ""0""]",True,True,504,"[""504"", ""503"", ""705""]",LEFT,LEFT,LEFT,True
199809,Greens/Alliance90,41113,2287,105,105,"[""105"", ""106"", ""107""]",True,True,105,"[""105"", ""106"", ""104""]",GAL,GAL,GAL,True
199809,Greens/Alliance90,41113,138,305,305,"[""305"", ""0"", ""202""]",True,True,305,"[""305"", ""202"", ""304""]",NEUTRAL,NEUTRAL,NEUTRAL,True
199809,Greens/Alliance90,41113,918,303,303,"[""303"", ""301"", ""202""]",True,True,303,"[""303"", ""414"", ""301""]",RIGHT,RIGHT,RIGHT,True
199809,Greens/Alliance90,41113,1914,105,605,"[""605"", ""105"", ""201""]",False,True,201,"[""201"", ""301"", ""401""]",GAL,TAN,GAL,False
199809,Greens/Alliance90,41113,1018,606,606,"[""606"", ""0"", ""503""]",True,True,606,"[""606"", ""503"", ""504""]",NEUTRAL,NEUTRAL,NEUTRAL,True
199809,Greens/Alliance90,41113,2043,408,408,"[""408"", ""107"", ""0""]",True,True,109,"[""109"", ""107"", ""406""]",NEUTRAL,NEUTRAL,TAN,True
