manifesto_id,year,party,party_id,row_idx,top1,ranked,gal_tan_spektrum
41112.016.1990.1.1,1990,Bündnis 90,41112,3,606,"[""606"", ""0"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,0,0,"[""0"", ""303"", ""305""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,1,305,"[""305"", ""0"", ""202""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,2,303,"[""303"", ""202"", ""0""]",RIGHT
41112.016.1990.1.1,1990,Bündnis 90,41112,4,0,"[""0"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,7,0,"[""0"", ""416"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,6,416,"[""416"", ""404"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,5,416,"[""416"", ""501"", ""408""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,8,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,9,416,"[""416"", ""501"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,10,416,"[""416"", ""501"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,11,416,"[""416"", ""501"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,14,501,"[""501"", ""0"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,13,501,"[""501"", ""0"", ""408""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,12,501,"[""501"", ""408"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,15,0,"[""0"", ""501"", ""408""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,18,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,16,501,"[""501"", ""408"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,17,416,"[""416"", ""501"", ""408""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,19,416,"[""416"", ""501"", ""408""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,21,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,20,416,"[""416"", ""501"", ""408""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,22,416,"[""416"", ""501"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,23,416,"[""416"", ""501"", ""408""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,24,601,"[""601"", ""408"", ""501""]",TAN
41112.016.1990.1.1,1990,Bündnis 90,41112,26,416,"[""416"", ""501"", ""701""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,27,501,"[""501"", ""416"", ""403""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,25,402,"[""402"", ""704"", ""408""]",RIGHT
41112.016.1990.1.1,1990,Bündnis 90,41112,29,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,31,603,"[""603"", ""201"", ""0""]",TAN
41112.016.1990.1.1,1990,Bündnis 90,41112,28,411,"[""411"", ""501"", ""408""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,30,416,"[""416"", ""501"", ""404""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,32,201,"[""201"", ""0"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,34,0,"[""0"", ""501"", ""411""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,35,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,33,501,"[""501"", ""411"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,36,416,"[""416"", ""408"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,37,416,"[""416"", ""603"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,39,416,"[""416"", ""501"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,38,501,"[""501"", ""416"", ""408""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,40,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,41,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,42,501,"[""501"", ""0"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,43,501,"[""501"", ""0"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,46,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,45,501,"[""501"", ""0"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,47,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,44,501,"[""501"", ""0"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,48,501,"[""501"", ""403"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,49,501,"[""501"", ""403"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,50,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,51,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,52,501,"[""501"", ""303"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,53,408,"[""408"", ""501"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,54,303,"[""303"", ""0"", ""302""]",RIGHT
41112.016.1990.1.1,1990,Bündnis 90,41112,55,301,"[""301"", ""303"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,57,302,"[""302"", ""303"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,59,301,"[""301"", ""303"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,58,305,"[""305"", ""303"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,56,501,"[""501"", ""403"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,60,403,"[""403"", ""506"", ""606""]",LEFT
41112.016.1990.1.1,1990,Bündnis 90,41112,62,301,"[""301"", ""303"", ""402""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,61,411,"[""411"", ""501"", ""402""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,63,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,64,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,65,501,"[""501"", ""0"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,66,501,"[""501"", ""0"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,67,0,"[""0"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,68,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,71,0,"[""0"", ""501"", ""411""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,69,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,70,403,"[""403"", ""501"", ""401""]",LEFT
41112.016.1990.1.1,1990,Bündnis 90,41112,72,501,"[""501"", ""0"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,73,501,"[""501"", ""0"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,74,0,"[""0"", ""501"", ""411""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,75,0,"[""0"", ""303"", ""401""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,76,501,"[""501"", ""303"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,77,501,"[""501"", ""0"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,78,0,"[""0"", ""501"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,79,0,"[""0"", ""303"", ""403""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,80,501,"[""501"", ""411"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,81,501,"[""501"", ""303"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,82,501,"[""501"", ""403"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,83,303,"[""303"", ""305"", ""403""]",RIGHT
41112.016.1990.1.1,1990,Bündnis 90,41112,84,301,"[""301"", ""501"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,85,303,"[""303"", ""501"", ""0""]",RIGHT
41112.016.1990.1.1,1990,Bündnis 90,41112,87,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,86,411,"[""411"", ""303"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,88,401,"[""401"", ""411"", ""303""]",RIGHT
41112.016.1990.1.1,1990,Bündnis 90,41112,89,303,"[""303"", ""301"", ""0""]",RIGHT
41112.016.1990.1.1,1990,Bündnis 90,41112,90,0,"[""0"", ""411"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,91,501,"[""501"", ""0"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,92,501,"[""501"", ""0"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,93,0,"[""0"", ""501"", ""408""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,95,305,"[""305"", ""0"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,94,303,"[""303"", ""501"", ""0""]",RIGHT
41112.016.1990.1.1,1990,Bündnis 90,41112,96,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,97,501,"[""501"", ""403"", ""109""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,98,501,"[""501"", ""303"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,99,501,"[""501"", ""411"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,100,414,"[""414"", ""501"", ""0""]",RIGHT
41112.016.1990.1.1,1990,Bündnis 90,41112,101,503,"[""503"", ""705"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,102,0,"[""0"", ""411"", ""301""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,103,501,"[""501"", ""411"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,104,501,"[""501"", ""411"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,105,0,"[""0"", ""501"", ""416""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,106,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,107,411,"[""411"", ""501"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,108,0,"[""0"", ""303"", ""404""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,109,411,"[""411"", ""501"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,111,501,"[""501"", ""411"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,110,411,"[""411"", ""501"", ""408""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,112,502,"[""502"", ""411"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,113,411,"[""411"", ""705"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,115,411,"[""411"", ""605"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,114,411,"[""411"", ""503"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,117,705,"[""705"", ""411"", ""503""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,116,411,"[""411"", ""605"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,119,411,"[""411"", ""0"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,118,411,"[""411"", ""0"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,121,411,"[""411"", ""0"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,120,411,"[""411"", ""0"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,123,411,"[""411"", ""501"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,122,411,"[""411"", ""0"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,124,411,"[""411"", ""0"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,125,411,"[""411"", ""503"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,127,411,"[""411"", ""303"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,126,411,"[""411"", ""303"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,128,411,"[""411"", ""0"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,129,411,"[""411"", ""303"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,131,501,"[""501"", ""411"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,130,411,"[""411"", ""501"", ""705""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,132,411,"[""411"", ""501"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,133,411,"[""411"", ""303"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,135,411,"[""411"", ""0"", ""408""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,134,411,"[""411"", ""303"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,136,411,"[""411"", ""303"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,137,411,"[""411"", ""403"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,140,501,"[""501"", ""411"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,141,411,"[""411"", ""501"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,138,301,"[""301"", ""303"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,139,501,"[""501"", ""416"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,142,501,"[""501"", ""411"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,143,501,"[""501"", ""411"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,144,706,"[""706"", ""503"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,145,411,"[""411"", ""301"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,146,706,"[""706"", ""411"", ""301""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,147,411,"[""411"", ""303"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,148,301,"[""301"", ""303"", ""305""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,149,411,"[""411"", ""303"", ""107""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,150,411,"[""411"", ""303"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,151,411,"[""411"", ""303"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,153,411,"[""411"", ""501"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,152,411,"[""411"", ""501"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,154,411,"[""411"", ""303"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,155,411,"[""411"", ""501"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,157,411,"[""411"", ""301"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,156,301,"[""301"", ""202"", ""411""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,158,411,"[""411"", ""301"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,159,411,"[""411"", ""501"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,161,411,"[""411"", ""0"", ""408""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,160,411,"[""411"", ""501"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,163,411,"[""411"", ""303"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,162,503,"[""503"", ""411"", ""301""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,164,411,"[""411"", ""108"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,165,411,"[""411"", ""706"", ""501""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,168,501,"[""501"", ""416"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,166,501,"[""501"", ""403"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,169,501,"[""501"", ""0"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,167,501,"[""501"", ""411"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,170,408,"[""408"", ""414"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,171,0,"[""0"", ""305"", ""408""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,172,416,"[""416"", ""501"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,173,416,"[""416"", ""501"", ""411""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,175,411,"[""411"", ""501"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,177,501,"[""501"", ""411"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,176,0,"[""0"", ""303"", ""305""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,174,403,"[""403"", ""411"", ""501""]",LEFT
41112.016.1990.1.1,1990,Bündnis 90,41112,178,403,"[""403"", ""302"", ""0""]",LEFT
41112.016.1990.1.1,1990,Bündnis 90,41112,179,501,"[""501"", ""403"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,180,411,"[""411"", ""501"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,181,411,"[""411"", ""605"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,182,411,"[""411"", ""605"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,185,411,"[""411"", ""605"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,183,0,"[""0"", ""303"", ""305""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,184,411,"[""411"", ""301"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,186,403,"[""403"", ""706"", ""0""]",LEFT
41112.016.1990.1.1,1990,Bündnis 90,41112,188,411,"[""411"", ""302"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,187,503,"[""503"", ""706"", ""0""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,189,706,"[""706"", ""503"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,190,706,"[""706"", ""503"", ""0""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,193,0,"[""0"", ""303"", ""305""]",NEUTRAL
