manifesto_id,year,party,party_id,row_idx,berta_top1,berta_ranked,gal_tan_spektrum
41112.016.1990.1.1,1990,Bündnis 90,41112,0,305,"[""305"", ""202"", ""303""]",NEUTRAL
41112.016.1990.1.1,1990,Bündnis 90,41112,1,202,"[""202"", ""305"", ""501""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,2,202,"[""202"", ""501"", ""606""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,3,202,"[""202"", ""606"", ""501""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,4,501,"[""501"", ""305"", ""606""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,5,416,"[""416"", ""501"", ""408""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,6,416,"[""416"", ""408"", ""501""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,7,416,"[""416"", ""408"", ""501""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,8,416,"[""416"", ""501"", ""408""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,9,416,"[""416"", ""501"", ""408""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,10,416,"[""416"", ""501"", ""410""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,11,501,"[""501"", ""416"", ""410""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,12,501,"[""501"", ""416"", ""410""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,13,501,"[""501"", ""416"", ""703""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,14,501,"[""501"", ""703"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,15,501,"[""501"", ""703"", ""416""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,16,501,"[""501"", ""416"", ""703""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,17,501,"[""501"", ""416"", ""703""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,18,501,"[""501"", ""416"", ""403""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,19,416,"[""416"", ""501"", ""403""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,20,416,"[""416"", ""501"", ""410""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,21,416,"[""416"", ""501"", ""410""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,22,416,"[""416"", ""501"", ""410""]",GAL
41112.016.1990.1.1,1990,Bündnis 90,41112,23,410,"[""410"", ""601"", ""408""]",NEUTRAL
